Kota/Kabupaten,Tahun,HDI
Bolaang Mongondow Utara,2015.0,64.46
Bolaang Mongondow Utara,2016.0,65.16
Bolaang Mongondow Utara,2017.0,65.6
Bolaang Mongondow Utara,2018.0,66.32
Bolaang Mongondow Utara,2019.0,66.91
Bolaang Mongondow Utara,2020.0,66.99
Bolaang Mongondow Utara,2021.0,67.39
Bolaang Mongondow Utara,2022.0,68.06
Bolaang Mongondow Utara,2023.0,68.64
Bolaang Mongondow Utara,2024.0,69.32
Bombana,2013.0,62.82
Bombana,2014.0,63.38
Bombana,2015.0,63.65
Bombana,2016.0,64.02
Bombana,2017.0,64.49
Bombana,2018.0,65.04
Bombana,2019.0,65.65
Bombana,2020.0,66.05
Bombana,2021.0,66.25
Bombana,2022.0,66.81
Bombana,2023.0,67.43
Bombana,2024.0,68.15
Bondowoso,2013.0,63.21
Bondowoso,2014.0,63.43
Bondowoso,2015.0,63.95
Bondowoso,2016.0,64.52
Bondowoso,2017.0,64.75
Bondowoso,2018.0,65.27
Bondowoso,2019.0,66.09
Bondowoso,2020.0,66.43
Bondowoso,2021.0,66.59
Bondowoso,2022.0,67.31
Bondowoso,2023.0,67.99
Bondowoso,2024.0,68.65
Bone,2013.0,61.4
Bone,2014.0,62.09
Bone,2015.0,63.11
Bone,2016.0,63.86
Bone,2017.0,64.16
Bone,2018.0,65.04
Bone,2019.0,65.67
Bone,2020.0,66.06
Bone,2021.0,66.4
Bone,2022.0,67.01
Bone,2023.0,67.81
Bone,2024.0,68.36
Bone Bolango,2013.0,65.82
Bone Bolango,2014.0,66.03
Bone Bolango,2015.0,66.83
Bone Bolango,2016.0,67.48
Bone Bolango,2017.0,68.11
Bone Bolango,2018.0,69.06
Bone Bolango,2019.0,69.63
Bone Bolango,2020.0,69.98
Bone Bolango,2021.0,70.25
Bone Bolango,2022.0,70.9
Bone Bolango,2023.0,71.51
Bone Bolango,2024.0,72.38
Boven Digoel,2013.0,57.96
Boven Digoel,2014.0,58.21
Boven Digoel,2015.0,59.02
Boven Digoel,2016.0,59.35
Boven Digoel,2017.0,60.14
Boven Digoel,2018.0,60.83
