Kota/Kabupaten,Tahun,Life Expectancy at Birth (Year),Provinsi
Gianyar,2016,72.95,Bali
Gianyar,2017,73.06,Bali
Gianyar,2018,73.26,Bali
Gianyar,2019,73.56,Bali
Gianyar,2020,73.68,Bali
Gianyar,2021,73.78,Bali
Gianyar,2022,74.13,Bali
Gianyar,2023,74.52,Bali
Gianyar,2024,74.86,Bali
Jembrana,2013,71.26,Bali
Jembrana,2014,71.39,Bali
Jembrana,2015,71.43,Bali
Jembrana,2016,71.57,Bali
Jembrana,2017,71.7,Bali
Jembrana,2018,71.91,Bali
Jembrana,2019,72.21,Bali
Jembrana,2020,72.35,Bali
Jembrana,2021,72.46,Bali
Jembrana,2022,72.82,Bali
Jembrana,2023,73.2,Bali
Jembrana,2024,73.51,Bali
Karangasem,2013,69.12,Bali
Karangasem,2014,69.18,Bali
Karangasem,2015,69.48,Bali
Karangasem,2016,69.66,Bali
Karangasem,2017,69.85,Bali
Karangasem,2018,70.05,Bali
Karangasem,2019,70.35,Bali
Karangasem,2020,70.47,Bali
Karangasem,2021,70.56,Bali
Karangasem,2022,70.89,Bali
Karangasem,2023,71.25,Bali
Karangasem,2024,71.53,Bali
Klungkung,2013,69.84,Bali
Klungkung,2014,69.91,Bali
Klungkung,2015,70.11,Bali
Klungkung,2016,70.28,Bali
Klungkung,2017,70.45,Bali
Klungkung,2018,70.7,Bali
Klungkung,2019,71.06,Bali
Klungkung,2020,71.25,Bali
Klungkung,2021,71.41,Bali
Klungkung,2022,71.83,Bali
Klungkung,2023,72.28,Bali
Klungkung,2024,72.5,Bali
Kota Denpasar,2013,73.56,Bali
Kota Denpasar,2014,73.71,Bali
Kota Denpasar,2015,73.91,Bali
Kota Denpasar,2016,74.04,Bali
Kota Denpasar,2017,74.17,Bali
Kota Denpasar,2018,74.38,Bali
Kota Denpasar,2019,74.68,Bali
Kota Denpasar,2020,74.82,Bali
Kota Denpasar,2021,74.93,Bali
Kota Denpasar,2022,75.3,Bali
Kota Denpasar,2023,75.69,Bali
Kota Denpasar,2024,76.01,Bali
Tabanan,2013,72.52,Bali
Tabanan,2014,72.64,Bali
Tabanan,2015,72.74,Bali
Tabanan,2016,72.89,Bali
Tabanan,2017,73.03,Bali
Tabanan,2018,73.23,Bali
Tabanan,2019,73.53,Bali
Tabanan,2020,73.65,Bali
Tabanan,2021,73.75,Bali
Tabanan,2022,74.1,Bali
Tabanan,2023,74.48,Bali
Tabanan,2024,74.8,Bali
Kota Cilegon,2013,65.84,Banten
Kota Cilegon,2014,65.85,Banten
Kota Cilegon,2015,66.15,Banten
Kota Cilegon,2016,66.24,Banten
Kota Cilegon,2017,66.32,Banten
Kota Cilegon,2018,66.43,Banten
Kota Cilegon,2019,66.6,Banten
Kota Cilegon,2020,66.67,Banten
Kota Cilegon,2021,66.69,Banten
Kota Cilegon,2022,67.02,Banten
Kota Cilegon,2023,67.39,Banten
Kota Cilegon,2024,67.66,Banten
Kota Serang,2013,67.23,Banten
Kota Serang,2014,67.23,Banten
Kota Serang,2015,67.33,Banten
Kota Serang,2016,67.36,Banten
Kota Serang,2017,67.38,Banten
Kota Serang,2018,67.58,Banten
Kota Serang,2019,67.83,Banten
Kota Serang,2020,68,Banten
Kota Serang,2021,68.12,Banten
Kota Serang,2022,68.54,Banten
Kota Serang,2023,68.98,Banten
Kota Serang,2024,69.27,Banten
Kota Tangerang,2013,71.09,Banten
Kota Tangerang,2014,71.09,Banten
Kota Tangerang,2015,71.29,Banten
Kota Tangerang,2016,71.34,Banten
Kota Tangerang,2017,71.38,Banten
Kota Tangerang,2018,71.45,Banten
Kota Tangerang,2019,71.57,Banten
Kota Tangerang,2020,71.6,Banten
Kota Tangerang,2021,71.6,Banten
Kota Tangerang,2022,71.91,Banten
Kota Tangerang,2023,72.24,Banten
Kota Tangerang,2024,72.46,Banten
Kota Tangerang Selatan,2013,72.1,Banten
Kota Tangerang Selatan,2014,72.11,Banten
Kota Tangerang Selatan,2015,72.12,Banten
Kota Tangerang Selatan,2016,72.14,Banten
Kota Tangerang Selatan,2017,72.16,Banten
Kota Tangerang Selatan,2018,72.26,Banten
Kota Tangerang Selatan,2019,72.41,Banten
Kota Tangerang Selatan,2020,72.47,Banten
Kota Tangerang Selatan,2021,72.47,Banten
Kota Tangerang Selatan,2022,72.78,Banten
Kota Tangerang Selatan,2023,73.11,Banten
Kota Tangerang Selatan,2024,73.31,Banten
Lebak,2013,65.83,Banten
Lebak,2014,65.88,Banten
Lebak,2015,66.28,Banten
Lebak,2016,66.43,Banten
Lebak,2017,66.59,Banten
Lebak,2018,66.79,Banten
Lebak,2019,67.04,Banten
Lebak,2020,67.21,Banten
Lebak,2021,67.33,Banten
Lebak,2022,67.74,Banten
Lebak,2023,68.13,Banten
Lebak,2024,68.34,Banten
Pandeglang,2013,62.83,Banten
Pandeglang,2014,62.91,Banten
Pandeglang,2015,63.51,Banten
Pandeglang,2016,63.77,Banten
Pandeglang,2017,64.04,Banten
Pandeglang,2018,64.24,Banten
Pandeglang,2019,64.49,Banten
Pandeglang,2020,64.66,Banten
Pandeglang,2021,64.79,Banten
Pandeglang,2022,65.2,Banten
Pandeglang,2023,65.58,Banten
Pandeglang,2024,65.79,Banten
Serang,2013,63.03,Banten
Serang,2014,63.09,Banten
Serang,2015,63.59,Banten
Serang,2016,63.81,Banten
Serang,2017,64.02,Banten
Serang,2018,64.22,Banten
Serang,2019,64.47,Banten
Serang,2020,64.64,Banten
Serang,2021,64.76,Banten
Serang,2022,65.18,Banten
Serang,2023,65.6,Banten
Serang,2024,65.9,Banten
Tangerang,2013,68.96,Banten
Tangerang,2014,68.98,Banten
Tangerang,2015,69.28,Banten
Tangerang,2016,69.37,Banten
