country,tahun,provinsi,kota_kabupaten,level,"Pivot HDI, LE, Stunting","Pivot HDI, LE, Stunting (Values)"
Indonesia,2021,Maluku,,provinsi,stunting,28.7
Indonesia,2022,Maluku,,provinsi,stunting,26.1
Indonesia,2023,Maluku,,provinsi,stunting,28.4
Indonesia,2024,Maluku,,provinsi,stunting,28.4
Indonesia,2013,Maluku Utara,,provinsi,stunting,
Indonesia,2014,Maluku Utara,,provinsi,stunting,
Indonesia,2015,Maluku Utara,,provinsi,stunting,
Indonesia,2016,Maluku Utara,,provinsi,stunting,
Indonesia,2017,Maluku Utara,,provinsi,stunting,
Indonesia,2018,Maluku Utara,,provinsi,stunting,
Indonesia,2019,Maluku Utara,,provinsi,stunting,29.07
Indonesia,2020,Maluku Utara,,provinsi,stunting,27.23
Indonesia,2021,Maluku Utara,,provinsi,stunting,27.5
Indonesia,2022,Maluku Utara,,provinsi,stunting,26.1
Indonesia,2023,Maluku Utara,,provinsi,stunting,28.4
Indonesia,2024,Maluku Utara,,provinsi,stunting,23.2
Indonesia,2013,Nusa Tenggara Barat,,provinsi,stunting,
Indonesia,2014,Nusa Tenggara Barat,,provinsi,stunting,
Indonesia,2015,Nusa Tenggara Barat,,provinsi,stunting,
Indonesia,2016,Nusa Tenggara Barat,,provinsi,stunting,
Indonesia,2017,Nusa Tenggara Barat,,provinsi,stunting,
Indonesia,2018,Nusa Tenggara Barat,,provinsi,stunting,
Indonesia,2019,Nusa Tenggara Barat,,provinsi,stunting,37.85
Indonesia,2020,Nusa Tenggara Barat,,provinsi,stunting,38.15
Indonesia,2021,Nusa Tenggara Barat,,provinsi,stunting,31.4
Indonesia,2022,Nusa Tenggara Barat,,provinsi,stunting,32.7
Indonesia,2023,Nusa Tenggara Barat,,provinsi,stunting,24.6
Indonesia,2024,Nusa Tenggara Barat,,provinsi,stunting,29.8
Indonesia,2013,Nusa Tenggara Timur,,provinsi,stunting,
Indonesia,2014,Nusa Tenggara Timur,,provinsi,stunting,
Indonesia,2015,Nusa Tenggara Timur,,provinsi,stunting,
Indonesia,2016,Nusa Tenggara Timur,,provinsi,stunting,
Indonesia,2017,Nusa Tenggara Timur,,provinsi,stunting,
Indonesia,2018,Nusa Tenggara Timur,,provinsi,stunting,
Indonesia,2019,Nusa Tenggara Timur,,provinsi,stunting,43.82
Indonesia,2020,Nusa Tenggara Timur,,provinsi,stunting,42.99
Indonesia,2021,Nusa Tenggara Timur,,provinsi,stunting,37.8
Indonesia,2022,Nusa Tenggara Timur,,provinsi,stunting,35.4
Indonesia,2023,Nusa Tenggara Timur,,provinsi,stunting,37.9
Indonesia,2024,Nusa Tenggara Timur,,provinsi,stunting,37.0
Indonesia,2013,Papua,,provinsi,stunting,
Indonesia,2014,Papua,,provinsi,stunting,
Indonesia,2015,Papua,,provinsi,stunting,
Indonesia,2016,Papua,,provinsi,stunting,
Indonesia,2017,Papua,,provinsi,stunting,
Indonesia,2018,Papua,,provinsi,stunting,
Indonesia,2019,Papua,,provinsi,stunting,29.36
Indonesia,2020,Papua,,provinsi,stunting,23.42
Indonesia,2021,Papua,,provinsi,stunting,29.5
Indonesia,2022,Papua,,provinsi,stunting,34.6
Indonesia,2023,Papua,,provinsi,stunting,28.6
Indonesia,2024,Papua,,provinsi,stunting,24.7
Indonesia,2013,Papua Barat,,provinsi,stunting,
Indonesia,2014,Papua Barat,,provinsi,stunting,
Indonesia,2015,Papua Barat,,provinsi,stunting,
Indonesia,2016,Papua Barat,,provinsi,stunting,
Indonesia,2017,Papua Barat,,provinsi,stunting,
Indonesia,2018,Papua Barat,,provinsi,stunting,
Indonesia,2019,Papua Barat,,provinsi,stunting,24.58
Indonesia,2020,Papua Barat,,provinsi,stunting,28.05
Indonesia,2021,Papua Barat,,provinsi,stunting,26.2
Indonesia,2022,Papua Barat,,provinsi,stunting,30.0
Indonesia,2023,Papua Barat,,provinsi,stunting,24.8
Indonesia,2024,Papua Barat,,provinsi,stunting,24.6
Indonesia,2013,Papua Barat Daya,,provinsi,stunting,
Indonesia,2014,Papua Barat Daya,,provinsi,stunting,
Indonesia,2015,Papua Barat Daya,,provinsi,stunting,
Indonesia,2016,Papua Barat Daya,,provinsi,stunting,
Indonesia,2017,Papua Barat Daya,,provinsi,stunting,
Indonesia,2018,Papua Barat Daya,,provinsi,stunting,
Indonesia,2019,Papua Barat Daya,,provinsi,stunting,
Indonesia,2020,Papua Barat Daya,,provinsi,stunting,
Indonesia,2021,Papua Barat Daya,,provinsi,stunting,
Indonesia,2022,Papua Barat Daya,,provinsi,stunting,
Indonesia,2023,Papua Barat Daya,,provinsi,stunting,31.0
Indonesia,2024,Papua Barat Daya,,provinsi,stunting,30.5
Indonesia,2013,Papua Pegunungan,,provinsi,stunting,
Indonesia,2014,Papua Pegunungan,,provinsi,stunting,
Indonesia,2015,Papua Pegunungan,,provinsi,stunting,
Indonesia,2016,Papua Pegunungan,,provinsi,stunting,
Indonesia,2017,Papua Pegunungan,,provinsi,stunting,
Indonesia,2018,Papua Pegunungan,,provinsi,stunting,
Indonesia,2019,Papua Pegunungan,,provinsi,stunting,
Indonesia,2020,Papua Pegunungan,,provinsi,stunting,
Indonesia,2021,Papua Pegunungan,,provinsi,stunting,
Indonesia,2022,Papua Pegunungan,,provinsi,stunting,
Indonesia,2023,Papua Pegunungan,,provinsi,stunting,37.3
Indonesia,2024,Papua Pegunungan,,provinsi,stunting,
Indonesia,2013,Papua Selatan,,provinsi,stunting,
Indonesia,2014,Papua Selatan,,provinsi,stunting,
Indonesia,2015,Papua Selatan,,provinsi,stunting,
Indonesia,2016,Papua Selatan,,provinsi,stunting,
Indonesia,2017,Papua Selatan,,provinsi,stunting,
Indonesia,2018,Papua Selatan,,provinsi,stunting,
Indonesia,2019,Papua Selatan,,provinsi,stunting,
Indonesia,2020,Papua Selatan,,provinsi,stunting,
Indonesia,2021,Papua Selatan,,provinsi,stunting,
Indonesia,2022,Papua Selatan,,provinsi,stunting,
Indonesia,2023,Papua Selatan,,provinsi,stunting,25.0
Indonesia,2024,Papua Selatan,,provinsi,stunting,25.7
Indonesia,2013,Papua Tengah,,provinsi,stunting,
Indonesia,2014,Papua Tengah,,provinsi,stunting,
Indonesia,2015,Papua Tengah,,provinsi,stunting,
Indonesia,2016,Papua Tengah,,provinsi,stunting,
Indonesia,2017,Papua Tengah,,provinsi,stunting,
Indonesia,2018,Papua Tengah,,provinsi,stunting,
Indonesia,2019,Papua Tengah,,provinsi,stunting,
Indonesia,2020,Papua Tengah,,provinsi,stunting,
Indonesia,2021,Papua Tengah,,provinsi,stunting,
Indonesia,2022,Papua Tengah,,provinsi,stunting,
Indonesia,2023,Papua Tengah,,provinsi,stunting,39.4
Indonesia,2024,Papua Tengah,,provinsi,stunting,
Indonesia,2013,Riau,,provinsi,stunting,
Indonesia,2014,Riau,,provinsi,stunting,
Indonesia,2015,Riau,,provinsi,stunting,
Indonesia,2016,Riau,,provinsi,stunting,
Indonesia,2017,Riau,,provinsi,stunting,
Indonesia,2018,Riau,,provinsi,stunting,
Indonesia,2019,Riau,,provinsi,stunting,23.95
Indonesia,2020,Riau,,provinsi,stunting,22.43
Indonesia,2021,Riau,,provinsi,stunting,22.3
Indonesia,2022,Riau,,provinsi,stunting,17.0
Indonesia,2023,Riau,,provinsi,stunting,13.6
Indonesia,2024,Riau,,provinsi,stunting,20.1
Indonesia,2013,Sulawesi Barat,,provinsi,stunting,
Indonesia,2014,Sulawesi Barat,,provinsi,stunting,
Indonesia,2015,Sulawesi Barat,,provinsi,stunting,
Indonesia,2016,Sulawesi Barat,,provinsi,stunting,
Indonesia,2017,Sulawesi Barat,,provinsi,stunting,
Indonesia,2018,Sulawesi Barat,,provinsi,stunting,
Indonesia,2019,Sulawesi Barat,,provinsi,stunting,40.38
Indonesia,2020,Sulawesi Barat,,provinsi,stunting,40.44
Indonesia,2021,Sulawesi Barat,,provinsi,stunting,33.8
Indonesia,2022,Sulawesi Barat,,provinsi,stunting,35.0
Indonesia,2023,Sulawesi Barat,,provinsi,stunting,30.3
Indonesia,2024,Sulawesi Barat,,provinsi,stunting,35.4
Indonesia,2013,Sulawesi Selatan,,provinsi,stunting,
Indonesia,2014,Sulawesi Selatan,,provinsi,stunting,
Indonesia,2015,Sulawesi Selatan,,provinsi,stunting,
Indonesia,2016,Sulawesi Selatan,,provinsi,stunting,
Indonesia,2017,Sulawesi Selatan,,provinsi,stunting,
Indonesia,2018,Sulawesi Selatan,,provinsi,stunting,
Indonesia,2019,Sulawesi Selatan,,provinsi,stunting,30.59
Indonesia,2020,Sulawesi Selatan,,provinsi,stunting,29.28
Indonesia,2021,Sulawesi Selatan,,provinsi,stunting,27.4
Indonesia,2022,Sulawesi Selatan,,provinsi,stunting,27.2
Indonesia,2023,Sulawesi Selatan,,provinsi,stunting,27.4
Indonesia,2024,Sulawesi Selatan,,provinsi,stunting,23.3
Indonesia,2013,Sulawesi Tengah,,provinsi,stunting,
Indonesia,2014,Sulawesi Tengah,,provinsi,stunting,
Indonesia,2015,Sulawesi Tengah,,provinsi,stunting,
Indonesia,2016,Sulawesi Tengah,,provinsi,stunting,
Indonesia,2017,Sulawesi Tengah,,provinsi,stunting,
Indonesia,2018,Sulawesi Tengah,,provinsi,stunting,
Indonesia,2019,Sulawesi Tengah,,provinsi,stunting,31.16
Indonesia,2020,Sulawesi Tengah,,provinsi,stunting,29.66
Indonesia,2021,Sulawesi Tengah,,provinsi,stunting,29.7
Indonesia,2022,Sulawesi Tengah,,provinsi,stunting,28.2
Indonesia,2023,Sulawesi Tengah,,provinsi,stunting,27.2
Indonesia,2024,Sulawesi Tengah,,provinsi,stunting,26.1
Indonesia,2013,Sulawesi Tenggara,,provinsi,stunting,
Indonesia,2014,Sulawesi Tenggara,,provinsi,stunting,
Indonesia,2015,Sulawesi Tenggara,,provinsi,stunting,
Indonesia,2016,Sulawesi Tenggara,,provinsi,stunting,
Indonesia,2017,Sulawesi Tenggara,,provinsi,stunting,
Indonesia,2018,Sulawesi Tenggara,,provinsi,stunting,
Indonesia,2019,Sulawesi Tenggara,,provinsi,stunting,31.44
Indonesia,2020,Sulawesi Tenggara,,provinsi,stunting,29.76
Indonesia,2021,Sulawesi Tenggara,,provinsi,stunting,30.2
Indonesia,2022,Sulawesi Tenggara,,provinsi,stunting,27.7
Indonesia,2023,Sulawesi Tenggara,,provinsi,stunting,30.0
Indonesia,2024,Sulawesi Tenggara,,provinsi,stunting,26.1
Indonesia,2013,Sulawesi Utara,,provinsi,stunting,
Indonesia,2014,Sulawesi Utara,,provinsi,stunting,
Indonesia,2015,Sulawesi Utara,,provinsi,stunting,
Indonesia,2016,Sulawesi Utara,,provinsi,stunting,
Indonesia,2017,Sulawesi Utara,,provinsi,stunting,
Indonesia,2018,Sulawesi Utara,,provinsi,stunting,
Indonesia,2019,Sulawesi Utara,,provinsi,stunting,21.18
Indonesia,2020,Sulawesi Utara,,provinsi,stunting,19.73
Indonesia,2021,Sulawesi Utara,,provinsi,stunting,21.6
Indonesia,2022,Sulawesi Utara,,provinsi,stunting,20.5
Indonesia,2023,Sulawesi Utara,,provinsi,stunting,21.3
Indonesia,2024,Sulawesi Utara,,provinsi,stunting,20.8
Indonesia,2013,Sumatera Barat,,provinsi,stunting,
Indonesia,2014,Sumatera Barat,,provinsi,stunting,
Indonesia,2015,Sumatera Barat,,provinsi,stunting,
Indonesia,2016,Sumatera Barat,,provinsi,stunting,
Indonesia,2017,Sumatera Barat,,provinsi,stunting,
Indonesia,2018,Sumatera Barat,,provinsi,stunting,
Indonesia,2019,Sumatera Barat,,provinsi,stunting,27.47
Indonesia,2020,Sumatera Barat,,provinsi,stunting,26.71
Indonesia,2021,Sumatera Barat,,provinsi,stunting,23.3
Indonesia,2022,Sumatera Barat,,provinsi,stunting,35.0
Indonesia,2023,Sumatera Barat,,provinsi,stunting,23.6
Indonesia,2024,Sumatera Barat,,provinsi,stunting,24.9
Indonesia,2013,Sumatera Selatan,,provinsi,stunting,
Indonesia,2014,Sumatera Selatan,,provinsi,stunting,
Indonesia,2015,Sumatera Selatan,,provinsi,stunting,
Indonesia,2016,Sumatera Selatan,,provinsi,stunting,
Indonesia,2017,Sumatera Selatan,,provinsi,stunting,
Indonesia,2018,Sumatera Selatan,,provinsi,stunting,
Indonesia,2019,Sumatera Selatan,,provinsi,stunting,28.98
Indonesia,2020,Sumatera Selatan,,provinsi,stunting,28.68
Indonesia,2021,Sumatera Selatan,,provinsi,stunting,24.8
Indonesia,2022,Sumatera Selatan,,provinsi,stunting,27.2
Indonesia,2023,Sumatera Selatan,,provinsi,stunting,20.2
Indonesia,2024,Sumatera Selatan,,provinsi,stunting,15.9
Indonesia,2013,Sumatera Utara,,provinsi,stunting,
Indonesia,2014,Sumatera Utara,,provinsi,stunting,
Indonesia,2015,Sumatera Utara,,provinsi,stunting,
Indonesia,2016,Sumatera Utara,,provinsi,stunting,
